name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
OPEN FRAME|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / OPEN FRAME|PM-ILED|FAE-9|39259020|6,35|4
FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / OPEN FRAME|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / OPEN FRAME / FANLESS|PM-RRELATS|FAE-4|84733080|6,35|5
NO FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / OPEN FRAME|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / OPEN FRAME / NO FANLESS|PM-RRELATS|FAE-4|84733080|6,35|5
FRAMED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / FRAMED|PM-RRELATS|FAE-4|84713000|6,35|4
FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / FRAMED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / FRAMED / FANLESS|PM-RRELATS|FAE-4|85285210|6,35|5
NO FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / FRAMED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / FRAMED / NO FANLESS|PM-RRELATS|FAE-4|84714100|6,35|5
"RACK 19"""|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC / RACK 19"""|PM-RRELATS|FAE-4|84714100|6,35|4
CHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS|PM-RRELATS|FAE-4|84714100|6,35|3
STANDARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD|PM-RRELATS|FAE-4|84714100|6,35|4
EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD / EMBEDDED|PM-RRELATS|FAE-4|84733080|6,35|5
