name|product_tmpl_id|product_name|product_code
100653|4C-230HS||2HU001A
100108|4MHZ||33004
100198|4MHZ||XTG04000
100412|4MHZ||OSCIL001V
100572|4MHZ||200707
100946|4MHZ||66890047
110436|4MHZ||641405
100946|4MHZ-16PF-AT41-NDK||66890065
101666|4MHZ-16PF-AT41-NDK||611890065
101017|4MHZ-AT49||230002
110459|4MHZ-AT49||641407
110397|4MHZ-AT49-ROHS||BA000067
100946|4MHZ-SMD49||66890061
101181|4MHZ-SMD49||YN4M00Y4901
101257|4MHZ-SMD49||PN01100
101666|4MHZ-SMD49||611890061
110436|4MHZ-SMD49||S641401
100858|5,5296MHZ-SMD49||6510001400
100042|50907||10TRF2800.0024.272
100519|50907||A2-4G10-002
101917|51872-REV01||50502216
110472|51872-REV01||C102500003
110500|51872-REV01||50502216
100917|51HQ045||RKZ322401
101432|52795-REV01||60204804
101432|52795-REV02||60204901
101432|53700||60204804
100758|54202||BTD-0004_PAYTON GR
102250|54202||BTD-0004
120016|54305-REV00||11550052
120016|54306-REV01||11550053
110024|550-0207||7320796
100653|553060||2HU003A
100009|553080||65200298
100009|553092||65200296
100753|553092||62301383
100911|553092||145000
110024|555-2003||7320675
101917|57649-REV04||240T0933
110500|57649-REV04||CC00883
101826|57RTN-2W-25OHM||54305
110448|57RTN-2W-25OHM||54305
110574|58414||1023990005000
110574|58414-1||1023990005001
110574|58416||1023990015000
110574|58416-1||1023990015001
103595|59290-REV01||1054671099
103839|59290-REV01||27021728015
103595|59292-REV01||1054681099
103839|59292-REV01||27021728010
110067|5962-8670402PA||937901843
110067|5962-8768101EA||937921825
110067|5962-8774101UX||937903914
110067|5962-8774201EA||937901834
110574|5962-87782012A||937917805
110067|5962-8864601UA||937901850
110574|5962-8864601UA||1101118501050
100969|5962-8959811MUA||003ET310006
103595|5962-8959812MTA||1021610098
110574|5962-8959828MYA||1108381283070
100969|5962-8959838MYA||003ET310027
110067|5962-9065002PA||937901836
100969|5962-9461109HMC||003ET310039
110067|5962-9560003M9A||931445128
110574|5962-9560003M9A||931445128
110067|5962-9560006M9A||931415128
110574|5962-9560006M9A||931415128
110619|5962-9561309HXC||INV8M512K800000
110067|5962-9669201HUA||931425128
110574|5962-9669201HUA||931425128
110574|5962-9669204HUA||931455128
110574|5962-9679605HXA||1108412883065
110574|5962-9761003HXC||1107500165080
110574|5962-9953101MNA||1101139589070
110574|59650-REV01||1023990460000
110574|59651-REV01||1023990460100
101586|5F316||98362
100893|6,144MHZ-AT49||4345
110436|6,764375MHZ-12PF-SMD49-ROHS||S641107
110436|6,764380MHZ-SMD49-ROHS||S641106
120148|6,7643MHZ-SMD49-12PF-ROHS||20 CCZ 007
120148|6,776953MHZ-SMD49-12PF-ROHS||20 CCZ 008
130039|60201EX075||15980000087
100034|60297EX0041||303990
120111|60-475-076||211268
120282|60-475-076||11211011
100469|60-475-076R||EF4211010
100768|60-475-076R||EF4211010
101486|60-475-076R||M00951
101555|60-475-076R||4PIN00101
120282|60-475-079||11211014
101555|60-475-079R||4ADP00501
120282|60-475-080||11211012
101526|60-475-160||EFALAO0INFA1
101525|60-475-160R||29346
110329|60596I20067||4027000001
110574|60CKQ045||D04000M4202T0
