"name"|"parent_id"|"complete_name"|"pms"|"faes"|"arancel_id"|"logistics_cost"|"level"
"SENSOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / SENSOR"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"5"
"RELÉ"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / RELÉ"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"5"
"CUSTOM"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / CUSTOM"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"5"
"IMAN"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / IMAN"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"4"
"EFECTO HALL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / EFECTO HALL"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"4"
"VELOCIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / VELOCIDAD"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"4"
"5G"|"COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER"|"COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / 5G"|"Anna Teotino"|"Anna Teotino"|"85176200"|"7,25"|"5"
"ANGULAR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / ANGULAR"|"Anna Teotino"|"Anna Teotino"|"85176200"|"4,1"|"4"
"CORRIENTE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / CORRIENTE"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"4"
"NIVEL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"3"
"SENSOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL / SENSOR"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"4"
"FLOTADOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL / FLOTADOR"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"4"
"IMPRESION"|"SEMICONDUCTORES & ELECTROMECÁNICOS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"2"
"IMPRESORA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"3"
"OEM"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"4"
"PANELABLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM / PANELABLE"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
