code;name;planned_revenue;probability;partner_id;agent_id;team_id;date_deadline;priority;tag_id;campaign_id;medium_id;partner_name;street;street2;zip;city;state_id;country_id;phone;mobile;email_from;website;contact_name;description;type
OPPN-00079;SILLON DENTAL  (ELECTROMEDICINA);7.000;;101506;V-MFER;;10/11/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00080;LCD ESTÁNDAR VARIOS (Equipos conversion energia);3.000;;100209;V-MHINAREJ;;19/11/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00081;Alimentacion tensiones PCB (Control de Accesos);1.000;;120237;V-DMART;;27/11/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00082;LECTOR MATRICULAS (SEGURIDAD);75.000;;102913;V-AVAC-AN;;01/12/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00083;LECTOR MATRICULAS (SEGURIDAD);41.000;;102913;V-AVAC-AN;;01/12/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00084;Visualizador (Vending);15.180;;102198;V-DMART;;16/10/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00085;Visualizador (Vending);5.000;;102198;V-DMART;;04/02/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00086;Presostato  Diferencial (Automocion);60.000;;120209;V-IGAR;;29/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00087;CABINAS (ASCENSORISTA);5.000;;101798;V-HLAMA-AR;;01/12/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00088;CAFETERA (MAQUINA DE CAFÉ);3.000;;102113;V-XAND;;13/04/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00089;Proteccion y Control (Energia);4.000;;120015;V-DMART;;10/12/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00090;Proteccion y Control (Energia);5.000;;120015;V-DMART;;10/12/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00091;Proteccion y Control (Energia)  Equipo: SR3;10.000;;120015;V-DMART;;05/11/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00092;GAMA BAJA LCD INSTRUMENTACION (Montador);3.000;;100449;V-MHINAREJ;;27/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00093;CONTADOR ELECTRICO (MONTADOR);18.000;;101807;V-AVAC-AN;;10/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00094;ALARMAS INCENDIO (SEGURIDAD);20.000;;103349;V-AVAC-AN;;01/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00095;ALARMAS INCENDIO (SEGURIDAD);20.000;;103349;V-AVAC-AN;;01/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00096;AUTOPAGOS (GASOLINERAS);17.000;;102128;V-AVAC-AN;;01/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00097;AUTOPAGOS (GASOLINERAS);15.000;;102128;V-AVAC-AN;;01/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00098;ALARMAS INTRUSIÓN (SEGURIDAD);5.000;;110091;V-BNC-CENT;;01/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00099;EPC SATELITE (ESPACIO) TRANSPONDEDOR MSBT;480.000;;110329;V-CGAR-CE;;07/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00100;DETECTOR DOMESTICO (SEGURIDAD);0;;101410;V-XAND;;10/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00101;PARKIMETRO (PARKING);5.000;;101848;V-HLAMA;;30/10/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00102;Analizador de aceite en agua para barcos (Instrumentacion);3.000;;101983;V-DMART;;10/06/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00103;ALIMENTACIÓN INDUSTRIAL (INGENIERIA/MONTADOR);3.000;;101063;V-XAND;;07/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00104;PARKÍMETROS (PARKÍMETROS);20.000;;101165;V-ANEIL;;09/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00105;PARKÍMETROS (PARKÍMETROS);20.000;;101165;V-ANEIL;;09/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00106;PARKÍMETROS (PARKÍMETROS);15.000;;101165;V-ANEIL;;09/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00107;PARKÍMETROS (PARKÍMETROS);10.000;;101165;V-ANEIL;;09/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00108;PARKÍMETROS (PARKÍMETROS);5.000;;101165;V-ANEIL;;09/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00109;Proteccion y Control (Energy);3.000;;102250;V-DMART;;05/11/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00110;"INFORMACION GASOLINERAS (INGENEIERIA ELECTRONICA) Equipo Self Pro (10.4"")";0;;100816;V-JCVAZ;;08/02/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00111;NO REVELADA (INGENIERIA/MONTADOR);0;;100071;V-XAND;;29/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00112;Baliza luminosa de señalización en aerogenerados y torres de alta tensión;1.580;;120316;V-DMART;;07/09/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00113;MINIBAR AUTOMÁTICO PARA HABITACIONES DE HOTELES (VENDING);38.000;;103371;V-JCVAZ;;14/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00114;Sistemas de control de agua (Ingenieria);60.000;;120316;V-DMART;;08/06/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00115;Sistemas de control de agua (Ingenieria);10.000;;120316;V-DMART;;16/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00116;Sistemas de control de agua (Ingenieria);13.000;;120316;V-DMART;;09/03/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00117;Alimentacion electroválvulas (Industrial CNC);1.960;;101880;V-DMART;;01/06/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00118;Colonoscopio (Industrial CNC);7.000;;101880;V-DMART;;22/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00119;Hub v3 (P-E02210);5.430;;100571;V-DMART;;22/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00120;INFORMACION PASAJERO (TRAFICO Y TRANSPORTES);13.000;;110574;V-MFER;;22/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00121;RAYOS X (ELECTROMEDICINA);0;;110500;V-MFER;;22/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00122;DISPENSADOR COMIDA GRANJAS (ELECTRONICA INDUSTRIAL);15.000;;102134;V-ANEIL-AR;;23/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00123;MOSTRAR INFORMACIÓN  (INFORMACIÓN PÚBLICA);5.000;;101932;V-HLAMA;;24/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00124;Transporte y accesos (Control  de Accesos/barreras tarifarias);55.000;;120115;V-DMART;;03/07/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00125;Transporte y accesos (Control  de Accesos/barreras tarifarias);0;;120115;V-DMART;;05/03/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00126;Transporte y accesos (Control  de Accesos/barreras tarifarias) - DURBAN;2.280;;120115;V-DMART;;22/12/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00127;ELECTRÓNICA CONTROL CABINA (ASCENSORISTA (ELECTRÓNICA));100.000;;102190;V-HLAMA-AR;;28/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00128;CONTROL GASTO AGUA (CONTADORES AGUA);10.000;;103352;V-HLAMA;;02/10/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00129;ELECTRÓNICA CONTROL CABINA (ASCENSORISTA (ELECTRÓNICA));40.000;;102190;V-HLAMA-AR;;28/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00130;EMBARCADO (TRAFICO Y TRANSPORTES);300.000;;100543;V-MFER;;25/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00131;Control de motores y DSP (Montador e Ingenieria);3.000;;120338;V-DMART;;29/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00132;Domotica (Montador e Ingenieria);4.725;;120338;V-DMART;;15/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00133;Alimentación protocolo MDB (Vending);8.000;;120053;V-DMART;;28/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00134;Alimentacion protocolo MDB (Vending);6.000;;120053;V-DMART;;28/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00135;Alimentación protocolo MDB (Vending);1.000;;120053;V-DMART;;28/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00136;MONITOR MESA RECREATIVA (Integracion Sistemas);15.000;;103637;V-EMOYA;;29/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00137;Ferroviaria (Control  de Accesos/barreras tarifarias);0;;120115;V-DMART;;30/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00138;CALIDAD DEL AIRE (SEGURIDAD);1.488;;103370;V-AVAC;;09/02/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00139;TICKETING (MONTADOR);30.000;;110438;V-AVAC-AN;;01/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00140;TICKETING (TE);50.000;;PT10-0293;V-AVAC;;29/06/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00141;TIPO B (MAQUINAS RECREATIVAS);1.000.000;;110050;V-AVAC;;05/10/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00142;Circuito de Expansion Optoaislado I/O;0;;101880;V-BNC-NOR2;;01/06/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00143;Display Cabina (Ascensores);5.000;;102388;V-MFER;;09/02/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00144;Maquina Snacks (Vending);1.700;;120053;V-DMART;;25/11/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00145;"Display cabina 10,1"" Proyecto ULI-R / VDAP (Ascensores)";11.660;;120011;V-DMART;;05/07/2019;;;;;;;;;;;;;;;;;;opportunity
OPPN-00146;Protección y Control (Energia);4.000;;101511;V-BNC-NORT;;03/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00147;Transmision datos (Gestion de Flotas);8.800;;102503;V-DMART;;24/06/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00148;Boyas para pesca (Maritimo);8.250;;101645;V-BNC-NOR2;;05/02/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00149;Desarrollo de nuevo equipo por obsolescencia de procesador Intel ATOM N270 (Equipos embarcados en autobuses y trenes);0;;100197;V-MFER;;13/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00150;Pupitre autobus (Automocion);32.950;;102186;V-DMART;;03/07/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00151;HANDPORTABLE (TERMINALES TELEFONICOS);0;;140008;V-XAND-AR;;14/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00152;Proteccion y Control (Energia);15.700;;102250;V-DMART;;17/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00153;Gestion  aguas (na) (Instrumentacion Medida);20.000;;100008;V-DMART;;17/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00154;Presostato para filtro de combustible en aviación (Instrumentacion);2.602,50;;101983;V-DMART;;03/08/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00155;Trazabilidad de placas (Montadores);0;;120333;V-DMART;;17/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00156;Equipo embarcado (Montador);0;;120338;V-DMART;;14/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00157;INFORMACION PASAJERO (TRAFICO Y TRANSPORTES);50.000;;100197;V-MFER;;06/07/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00158;CONTROL MAQUINA (Maquina herramienta calentamiento por induccion);0;;100138;V-APOVEDA;;10/03/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00159;PESAJE POR RAYOS X (PESAJE INDUSTRIAL);36.000;;100888;V-ANEIL;;10/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00160;INFORMACION PASAJERO (TRAFICO Y TRANSPORTES);14.000;;110574;V-MFER;;23/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00161;"Mirilla puerta con TFT 3,5"" (Montador)";37.500;;103424;V-MHINAREJ;;07/02/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00162;POSTE INFORMATIVO CON IMPRESORA TERMICA (Ingenieria);2.000;;103504;V-MHINAREJ;;06/07/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00163;POSTE INFORMATIVO CON TFT (Ingenieria);6.200;;103504;V-MHINAREJ;;03/02/2017;;;;;;;;;;;;;;;;;;opportunity
