unique_code|path|name|res_id|res_model|create_date|create_user|comments
7428|/home/odoo_files/Products/JM-VL02|MN_JM-VL02.pdf|JM-VL02|product_template|2021-03-25|Jordi Gutiérrez|Manual
7429|/home/odoo_files/Products/JNC6I-IH81|DS_JNC6I-IH81.pdf|JNC6I-IH81|product_template|2017-09-05|Roger Relats|DataSheet
7430|/home/odoo_files/Products/JNC6I-IH81|IMG_JNC6I-IH81.png|JNC6I-IH81|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7431|/home/odoo_files/Products/JNC8H-IH310|IMG_JNC8H-IH310.jpg|JNC8H-IH310|product_template|2019-12-24|Roger Relats|Imagen
7432|/home/odoo_files/Products/JNC8H-IH310|DS_JNC8H-IH310.pdf|JNC8H-IH310|product_template|2019-12-24|Roger Relats|DataSheet
7433|/home/odoo_files/Products/JNF36-2600|JNF36-2600.jpg|JNF36-2600|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7434|/home/odoo_files/Products/JNF36-2800|JNF36-2800.jpg|JNF36-2800|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7435|/home/odoo_files/Products/JNF3E-5200U|DS_JNF3E-5200U.pdf|JNF3E-5200U|product_template|2016-11-15|Roger Relats|DataSheet
7436|/home/odoo_files/Products/JNF3E-5200U|IMG_JNF3E-5200U.jpg|JNF3E-5200U|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7437|/home/odoo_files/Products/JNF792I-3160|IMG_JNF792I-3160.jpg|JNF792I-3160|product_template|2021-06-11|Roger Relats|Imagen
7438|/home/odoo_files/Products/JNF792I-3160|DS_JNF792I-3160.pdf|JNF792I-3160|product_template|2021-06-11|Roger Relats|DataSheet
7439|/home/odoo_files/Products/JNF797-Q370|IMG_JNF797-Q370.jpg|JNF797-Q370|product_template|2020-06-23|Roger Relats|Imagen
7440|/home/odoo_files/Products/JNF797-Q370|DS_JNF797-Q370.pdf|JNF797-Q370|product_template|2020-06-23|Roger Relats|DataSheet
7441|/home/odoo_files/Products/JNF81-T56N-LF|DS_JNF81-T56N-LF.pdf|JNF81-T56N-LF|product_template|2016-09-19|Roger Relats|DataSheet
7442|/home/odoo_files/Products/JNF81-T56N-LF|IMG_JNF81-T56N-LF.jpg|JNF81-T56N-LF|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7443|/home/odoo_files/Products/JNF894-3455|IMG_JNF894-3455.jpg|JNF894-3455|product_template|2019-12-24|Roger Relats|Imagen
7444|/home/odoo_files/Products/JNF894-3455|DS_JNF894-3455.pdf|JNF894-3455|product_template|2019-12-24|Roger Relats|DataSheet
7445|/home/odoo_files/Products/JNF93R-LF|JNF93R-LF.jpg|JNF93R-LF|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7446|/home/odoo_files/Products/JNF95A-270-LF|JNF95A-270-LF.jpg|JNF95A-270-LF|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7447|/home/odoo_files/Products/JNF9C-2600|JNF9C-2600.jpg|JNF9C-2600|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7448|/home/odoo_files/Products/JNF9E-Q77|NF9E-Q77.jpg|JNF9E-Q77|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7449|/home/odoo_files/Products/JNF9U-2930|DS_JNF9U-2930.pdf|JNF9U-2930|product_template|2015-10-06|Roger Relats|DataSheet
7450|/home/odoo_files/Products/JNF9U-2930|IMG_JNF9U-2930.jpg|JNF9U-2930|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7451|/home/odoo_files/Products/JNLBTA-I1900-2L|IMG_JNLBTA-I1900-2L.jpg|JNLBTA-I1900-2L|product_template|2021-01-20|Roger Relats|Imagen
7452|/home/odoo_files/Products/JNLBTA-I1900-2L|DS_JNLBTA-I1900-2L.pdf|JNLBTA-I1900-2L|product_template|2021-01-20|Roger Relats|DataSheet
7453|/home/odoo_files/Products/JNLBT-I1900|DS_JNLBT-I1900.pdf|JNLBT-I1900|product_template|2014-07-14|Jordi Gutiérrez|DataSheet
7454|/home/odoo_files/Products/JNLBT-I1900|IMG_JNLBT-I1900.jpg|JNLBT-I1900|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7455|/home/odoo_files/Products/JNLBT-I1900-2L|DS_JNLBT-I1900-2L.pdf|JNLBT-I1900-2L|product_template|2016-09-29|Roger Relats|DataSheet
7456|/home/odoo_files/Products/JNLBT-I1900-2L|IMG_JNLBT-I1900-2L.jpg|JNLBT-I1900-2L|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7457|/home/odoo_files/Products/JNLBT-N2930|DS_JNLBT-N2930.pdf|JNLBT-N2930|product_template|2021-04-14|Roger Relats|DataSheet
7458|/home/odoo_files/Products/JNLBT-N2930|IMG_JNLBT-N2930.jpg|JNLBT-N2930|product_template|2021-04-14|Roger Relats|Imagen
7459|/home/odoo_files/Products/JNMF91-G41-LF|DS_JNMF91-G41-LF.pdf|JNMF91-G41-LF|product_template|2013-06-25|Jordi Gutiérrez|DataSheet
