product_code|partner_ref|min_quantity|create_date|create_user
KPC354NT|101037|16000|2009-11-13|
KPC354NT|101037|11800|2010-01-11|
KPC354NT|101037|11600|2010-01-28|
KPC354NT|101037|11300|2010-04-28|
KPC354NT|101037|4800|2010-07-06|
KPC354NT|101037|10800|2010-07-16|
KPC354NT|101037|6400|2011-09-16|
KPC354NT|101037|4300|2012-03-08|
KPC354NT|101037|2100|2012-07-06|
KPC357NT0C|100883|7000|2009-12-16|
KPC357NT0C|101037|10000|2009-10-05|
KPC357NT0C|101037|12000|2009-10-05|
KPC357NT0C|101037|8000|2010-01-11|
KPC357NT0C|101037|6600|2010-05-31|
KPC357NT0C|101037|5000|2011-04-13|
KPC357NT0C|101037|3000|2011-09-16|
KPC357NT0C|101037|2100|2012-03-08|
KPC357NT0C|101037|1100|2012-07-06|
KSS-BV15061|120418|4000|2009-12-21|
KTL-B|101290|1000|2011-07-22|
L26-M33|101287|0|2018-06-12|
LA1521-21-UR96EWRN|120338|3000|2017-07-07|
LA1561-OG-S1BWR060|100285|5007|2009-03-11|
LA1561-OG-S1BWR060|100285|5008|2009-04-22|
LA1561-OG-S1BWR060|100285|4000|2009-06-15|
LA1561-OG-S1BWR060|100561|4000|2012-03-02|
LA1561-OG-S1BWR060|100561|8000|2012-12-19|
LA1561-OG-S1BWR060|100561|7000|2014-01-13|
LA1561-R3G6-S1BWRN|100285|6000|2010-03-05|
LA1571-21EWRN|120338|1056|2009-03-17|
LA1571-21EWRN|120338|2500|2009-12-23|
LA1571-21EWRN|120338|3510|2010-12-17|
LA1571-21EWRN|120338|3000|2017-07-07|
LA5041R-11RRRN|100631|195|2010-01-20|
LA5611-11-M173-EWR035|101410|1800|2021-07-28|Núria Soler
LA5642R-11-M07-RRRS|100177|500|2010-01-25|
LA5671-11-M1-EWR035|101410|1800|2021-01-22|Núria Soler
LA5671-11-M1-EWR035|101696|3000|2009-02-24|
LA56B1-11URC3-Z-EWRN|100944|5000|2009-12-17|
LA8041-11BWRN|100561|2000|2012-02-23|
LA8041-11BWRN|100561|4000|2012-12-19|
LA8041-11BWRN|100561|4000|2013-03-13|
LA8041-11BWRN|100561|4000|2014-01-13|
LA8041R-11-M07-RRRN|100177|2016|2009-04-06|
LA8041R-11-M07-RRRN|100177|4032|2010-01-25|
LB6021-21NGRN|120338|500|2009-03-17|
LB6021-21-UR96NGRN|120338|300|2009-12-23|
LB6021-21-UR96NGRN|120338|1023|2017-07-07|
LB6041R-21NRRN|120338|1056|2009-03-18|
LB6041R-21NRRN|120338|1500|2009-12-23|
LB6041R-21NRRN|120338|1023|2017-07-07|
LC3671-11-M1-RRAK|150063|9000|2012-11-13|
LC3921-11-HE-EWA035|100106|429|2009-04-06|
LC5271-11-M1-EWA035|100631|400|2009-06-24|
LC5271-11-M1-EWA035|101696|3000|2009-11-23|
LC5271-11-M1-EWA035|101696|2000|2012-12-12|
LDR-5.5K/EXT|101623|30|2020-09-28|
LJ1411-11-UR93EWR040|120338|1512|2009-03-17|
LJ1411-11-UR93EWR040|120338|2500|2009-12-23|
LJ1411-11-UR93EWR040|120338|3024|2010-12-17|
LJ1411-11-UR93EWR040|120338|504|2017-07-07|
LJ1421-11-UR96EWR035|120338|3003|2017-07-07|
LJ5771-21-M1-RRRS|100264|1000|2009-11-06|
LJ5771-21-M1-RRRS|100264|955|2010-07-21|
LJ57B1-21-54S1BWRN|100264|500|2009-11-06|
LJ57B1-21-54S1BWRN|100264|0|2010-07-21|
LJ7041R-21RRRS|110473|1128|2011-11-10|
LJ7041R-21RRRS|110473|1120|2011-11-10|
LJ7041R-21RRRS|110473|812|2011-11-25|
LJ7041R-21RRRS|110473|504|2012-01-10|
LM5644-11-M07-EWRS|100187|2500|2011-06-02|
LM5644-11-M07-EWRS|100187|1000|2011-07-12|
LM5644-11-M07-EWRS|100187|500|2012-01-13|
