name|product_code|warehouse_id|location_id|security_stock|create_date|create_user
OP/08037|LJ2364-R3G6BWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08038|LJ2464-7MFS1-BWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08039|LJ2464-R3G6-BWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08040|LJ2471-21-M1-BWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08041|LJ5771-21-M1-RRRS|Almacén|MONO/Stock|0|2013-05-03|
OP/08042|LJ5771-21-M1-RRRS|Almacén|MONO/Stock|0|2011-12-14|
OP/08043|LJ57B1-21-54S1BWRN|Almacén|MONO/Stock|0|2011-12-14|
OP/08044|LJ7011-12-UR93EWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08045|LJ7021-21EWRS|Almacén|MONO/Stock|0|2011-09-30|
OP/08046|LJ7041R-21RRRS|Almacén|MONO/Stock|0|2012-04-02|
OP/08047|LJ7041R-21RRRS|Almacén|MONO/Stock|0|2012-04-02|
OP/08048|LJ7071-21-M1|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08049|LJ70B1-12-P-BWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08050|LK202-25GW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08051|LL030AFNW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08052|LL030AFWW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08053|LL030ASWW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08054|LL090AFWW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08055|LL090RGBW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08056|LL10000-GEWAK|Almacén|MONO/Stock|0|2011-10-03|
OP/08057|LL10000-GEWAK|Almacén|MONO/Stock|0|2011-10-11|
OP/08058|LL10000-GEWAK|Almacén|MONO/Stock|0|2011-10-03|
OP/08059|LL10000-GEWAK|Almacén|MONO/Stock|0|2011-10-03|
OP/08060|LL10000-HR|Almacén|MONO/Stock|0|2009-07-06|
OP/08061|LL10000-HR|Almacén|MONO/Stock|0|2012-06-01|
OP/08062|LL10000-HR|Almacén|MONO/Stock|0|2012-06-01|
OP/08063|LL10343-OYGEWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08064|LL1608-FSL82NJ-BLK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08065|LLF41T13E|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08066|LLM41T13E|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08067|LM111H|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08068|LM139J883|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08069|LM1458N|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08070|LM211J-8|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08071|LM258N|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08072|LM2594N-3.3|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08073|LM2844-15EWAK|Almacén|MONO/Stock|0|2012-01-25|
OP/08074|LM293N|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08075|LM308D|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08076|LM339N|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08077|LM3613-11-UR93EWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08078|LM3614-11-UR93BWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08079|LM3614-11-UR93EWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08080|LM5624-11EWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08081|LM5644-11-M07-EWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08082|LM6229E128G24011|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08083|LM6PROCD|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08084|LM748H-883Q|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08085|LM7808N|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08086|LM7812CK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08087|LM7824CK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08088|LM80B4-X19015EWRW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08089|LMR4212BG2C12SSDYH|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08090|LMR4821BG4C20HNG|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08091|LOCKOUTSAFETY-HASPS15-PK12|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08092|LOT CHARGE|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08093|LOT CHARGE IRHNA597Z60SCSA|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08094|LOTE-COMPONENTES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08095|LP104S5-C1|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08096|LP1063-S712|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08097|LP10W3-BL15088|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08098|LP10W3-S322|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08099|LP10W3-S324|Almacén|MONO/Stock|0|2021-12-04|OdooBot
