name|parent_id|complete_name
ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD / ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD / ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL / ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL
ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES||ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES
ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO|ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES|ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES / ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO
OTROS ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO|ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES / ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO|ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES / ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO / OTROS ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO
ACTIVIDADES DE CUIDADO DIURNO DE NIÑOS|ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES / ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO / OTROS ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO|ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES / ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO / OTROS ACTIVIDADES DE SERVICIOS SOCIALES SIN ALOJAMIENTO / ACTIVIDADES DE CUIDADO DIURNO DE NIÑOS
SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE||SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE
ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS |SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE|SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS 
ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS|SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS |SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS  / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS
ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS|SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS  / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS|SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GE / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS  / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS / ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS
OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉC|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉC
