"location_id"|"product_qty"|"product_code"|"product_lot_id"
"MONO/Stock"|"2"|"CABLE-ALIM-JACKDC/1M"|""
"MONO/Stock"|"2"|"CABLE-ALIM-JNC8H/3BCO"|""
"MONO/Stock"|"4"|"CABLE-ALIM-JNF894/35CM"|""
"MONO/Stock"|"1"|"CABLE-ALIM-KM324"|""
"MONO/Stock"|"10"|"CABLE-ALIM-PH8480IHF07/35"|""
"MONO/Stock"|"10"|"CABLE-ALIM-PPC15/AL/V1"|""
"MONO/Stock"|"16"|"CABLE-AUDIO-BW051/10CM"|""
"MONO/Stock"|"29"|"CABLE-AUDIO-PLACA"|""
"MONO/Stock"|"10"|"CABLE-AUDIO-SPK/2BO"|""
"MONO/Stock"|"250"|"CABLE-AUDIO-SPKAFUELS/2BO"|""
"MONO/Stock"|"16"|"CABLE-BW051-PM102/20CM"|""
"MONO/Stock"|"34"|"CABLE-COMBO-PH10276-I50/70"|""
"MONO/Stock"|"33"|"CABLE-COMBO-PH10276-I50V10"|""
"MONO/Stock/Restitución"|"6"|"CABLE-COMBO-PH10276-I50V10"|""
"MONO/Stock"|"4"|"CABLE-DB15-ONESIDE/15CM"|""
"MONO/Stock"|"105"|"CABLE-DC-TYAT070DVI/IND"|""
"MONO/Stock"|"50"|"CABLE-EAS-TABLET"|""
"MONO/Stock"|"10"|"CABLE-ELO-SAI-USB-BT100"|""
"MONO/Stock"|"5"|"CABLE-FLOPPY"|""
"MONO/Stock"|"2"|"CABLE-HDMI"|""
"MONO/Stock"|"185"|"CABLE-HDMI-MM/25CM"|""
"MONO/Stock"|"16"|"CABLE-HELIX-INT"|""
"MONO/Stock"|"6"|"CABLE-JACKDC-3M"|""
"MONO/Stock/Dotación"|"61"|"CABLE-KEYB/MOUSE"|""
"MONO/Stock"|"71"|"CABLE-LEDS/EASV2"|""
"MONO/Stock"|"2"|"CABLE-LPT-254/20CM"|""
"MONO/Stock"|"27"|"CABLE-LVDS-HELIX/125"|""
"MONO/Stock"|"1"|"CABLE-LVDS-HELIX/125-SAT"|""
"MONO/Stock"|"30"|"CABLE-MIC-LINOUT/AVALON/V1"|""
"MONO/Stock"|"107"|"CABLE-OSD-TYAT070DVI/IND"|""
"MONO/Stock"|"289"|"CABLE-PM6202B-GENECV05/15"|""
"MONO/Stock/SAT"|"1"|"CABLE-PM6202B-GENECV05/15"|""
"MONO/Stock/Dotación"|"46"|"CABLE-RED"|""
"MONO/Stock"|"252"|"CABLE-RESET/CARD-5"|""
"MONO/Stock"|"5"|"CABLE-RESET/CARD-5-SAT"|""
"MONO/Stock"|"12"|"CABLE-RESET/CVI/30CM"|""
"MONO/Stock/Dotación"|"13"|"CABLE-RJ45/UTP5"|""
"MONO/Stock/Dotación"|"10"|"CABLE-RS232/GENECV05/25CM"|""
"MONO/Stock"|"3"|"CABLE-RS422/485-4PIN"|""
"MONO/Stock"|"9"|"CABLE-RTPC-CPUAAEON/35CM"|""
"MONO/Stock"|"386"|"CABLE-SATA/POWER"|""
"MONO/Stock"|"15"|"CABLE-SE074-OVATION/65CM"|""
"MONO/Stock"|"14"|"CABLE-SE074-OVATIONLP/40CM"|""
"MONO/Stock"|"140"|"CABLE-SERIE/GENE"|""
"DEP/Stock"|"3"|"CABLE-SERIE/GENE"|""
"MONO/Stock"|"1"|"CABLE-SERIE-CM39-DB9/20CM"|""
"MONO/Stock"|"387"|"CABLE-TOUCH5W-PM6202B/20"|""
"MONO/Stock"|"4"|"CABLE-TOUCH-PH128-PICOAPL"|""
"MONO/Stock/Dotación"|"3"|"CABLE-TOUCH-USBA-5PIN/20CM"|""
"MONO/Stock"|"1"|"CABLE-USB/1M"|""
"MONO/Stock"|"41"|"CABLE-USB-2PORTS/254"|""
"MONO/Stock"|"185"|"CABLE-USB-AM/BM/20CM"|""
"MONO/Stock"|"12"|"CABLE-USBB-2.54MM/15CM"|""
"MONO/Stock"|"8"|"CABLE-USB-M/M-2M"|""
"MONO/Stock"|"4"|"CABLE-USB-M/M-3M"|""
"MONO/Stock"|"107"|"CABLE-USB-PM6202/IND"|""
"MONO/Stock"|"71"|"CABLE-USB-TOUCH/SAI-EAS"|""
"MONO/Stock"|"11"|"CABLE-USB-ZYT-EMBBT1/35CM"|""
"MONO/Stock"|"4"|"CABLE-USB-ZYT-GENE/15CM"|""
"MONO/Stock"|"24"|"CABLE-VGA-1M/MMAC"|""
"MONO/Stock"|"6"|"CABLE-VGA-M/M-3M"|""
"MONO/Stock"|"107"|"CABLE-VGA-TYAT070DVI/IND"|""
"MONO/Stock"|"9"|"CB00000000137_R2"|""
"MONO/Stock"|"9"|"CB3301F200SFBA"|""
"MONO/Stock"|"388"|"CB4001F200SFBA"|""
"MONO/Stock"|"4"|"CBC95-20"|""
"MONO/Stock/Delegación Vallcarca"|"3"|"CBC95-20"|""
"DEP/Stock"|"1"|"CBC95-20"|""
"DEP/Stock"|"2"|"CBG96-E"|""
"MONO/Stock"|"10"|"CBL-PWRBTTN-EMB/2BO"|""
"MONO/Stock/Dotación"|"1"|"CEBEK-E1"|""
"MONO/Stock/Dotación"|"1"|"CERTIFICADO-C02-TRA"|""
"MONO/Stock"|"1"|"CF-115XA-R10"|""
"MONO/Stock"|"1"|"CF-115XC-R10"|""
"MONO/Stock"|"4"|"CF-115XE-R10"|""
"MONO/Stock"|"9"|"CF-989A-RS-R12"|""
